,player_id,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr,pacr,racr,target_share,air_yards_share,wopr_x,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
0,00-0019596,T.Brady,2020,REG,401,610,4633.0,40,12.0,21.0,143.0,1,0,5529.0,1810.0,233.0,133.30617392971195,0,2.8643501598100625,30,6.0,3,3.0,1.0,6.0,-18.186051844267496,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,337.92,337.92,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19709076486987764
1,00-0020531,D.Brees,2020,REG,275,390,2942.0,24,6.0,13.0,89.0,6,2,2361.0,1478.0,149.0,69.72044576117561,0,1.5455517346067282,18,-2.0,2,0.0,0.0,4.0,-4.355731324154787,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,209.48000000000002,209.48000000000002,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711102398222571
2,00-0022127,J.Witten,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,13,17,69.0,2,0.0,0.0,91.0,20.0,8.0,2.407177959205723,0,0.0,18.9,31.9,0.0,0.0,0.0,0.0,0.0,10,0.05029585798816568,0.03298296484233418,0.014803849000740192,0.10183015885611586,0.025246981339187707,0.09523809523809523,0.061068702290076333,0.06578947368421052,0.06024253828864147,0.039245204118969215,0.20414201183431951,0.03230314322747894
3,00-0022787,M.Schaub,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,3,-4.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004739336492890996
4,00-0022824,A.Lee,2020,REG,1,1,26.0,0,0.0,0.0,0.0,0,0,14.0,12.0,1.0,4.014011434279382,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.04,1.04,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008075788165864265
5,00-0022921,L.Fitzgerald,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,54,72,409.0,1,0.0,0.0,432.0,185.0,25.0,-1.7713509171222093,0,0.0,46.9,100.9,0.0,0.0,0.0,0.0,0.0,13,0.15157894736842106,0.11434621492853361,0.11843790012804098,0.3188453929954585,0.11466218110456966,0.043478260869565216,0.1404494382022472,0.12935323383084577,0.07907022098706744,0.10042539705756878,0.8610526315789474,0.07590575349061146
6,00-0022924,B.Roethlisberger,2020,REG,399,608,3803.0,33,10.0,13.0,118.0,2,0,4220.0,1953.0,193.0,55.11086180453964,2,1.4796427832300176,25,11.0,0,3.0,1.0,3.0,-19.628475135745248,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,267.22,267.22,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18527609063427353
7,00-0022942,P.Rivers,2020,REG,369,543,4169.0,24,11.0,19.0,118.0,2,1,3883.0,2231.0,200.0,104.33805712479146,1,2.2543525328633303,18,-8.0,0,0.0,0.0,0.0,-10.118697630008683,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,239.96,239.96,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159268305633728
8,00-0023436,A.Smith,2020,REG,168,252,1582.0,6,8.0,22.0,139.0,1,0,1286.0,949.0,74.0,-32.70783273811737,0,0.325536562430343,10,3.0,0,1.0,0.0,0.0,-6.434063424385386,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,71.58,71.58,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11597913088564113
9,00-0023459,A.Rodgers,2020,REG,372,526,4299.0,48,5.0,20.0,182.0,1,1,4135.0,2248.0,216.0,186.25184725812525,0,3.556479479760112,38,149.0,3,3.0,1.0,15.0,2.940303397423122,0,1,1,-6.0,0,0.0,0.0,-4.0,-2.0,0.0,-1.355170501046814,0,0.0,382.26,383.26,0.0,0.0,0.0,0.0,0.0,16,0.0019011406844106464,-0.0009673518742442564,-0.0008896797153024911,0.0020778295272205647,-0.0013956734124214933,0.0,0.0,0.0,-0.0006978367062107466,-0.0011165387299371947,-0.011406844106463879,0.2192989483080233
