,mfl_id,sportradar_id,fantasypros_id,gsis_id,pff_id,sleeper_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,rotowire_id,rotoworld_id,ktc_id,pfr_id,cfbref_id,stats_id,stats_global_id,fantasy_data_id,swish_id,name,merge_name,position,team,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,twitter_username,height,weight,college,db_season
0,15691,d7f4a7fe-86b6-44d8-8944-58271f1299b1,23028.0,,,8164.0,,,,,2961962.0,15865.0,,1292.0,,,,0.0,,1105824.0,Matt Corral,matt corral,QB,CAR,1999-01-31,23.3,2022.0,3.0,30.0,,,73.0,205.0,Mississippi,2022
1,15692,ef7ae1f1-4ebe-4759-bbb3-32bd177ace08,22722.0,,,8160.0,,,,,2804969.0,15841.0,,1208.0,,,,0.0,,976924.0,Kenny Pickett,kenny pickett,QB,PIT,1998-06-06,24.0,2022.0,1.0,20.0,,,75.0,220.0,Pittsburgh,2022
2,15693,7d85e9c2-f464-4654-9200-acfcffd7dfaf,23045.0,,,8162.0,,,,,3123797.0,15825.0,,1209.0,,,,0.0,,1168245.0,Sam Howell,sam howell,QB,WAS,2000-09-16,21.7,2022.0,5.0,1.0,,,73.0,220.0,North Carolina,2022
3,15694,55aefcf9-4dfb-4994-883f-4d537a6f1ddb,23499.0,,,8161.0,,,,,2804167.0,15872.0,,1210.0,,,,0.0,,976323.0,Malik Willis,malik willis,QB,TEN,1999-05-25,23.0,2022.0,3.0,22.0,,,73.0,215.0,Liberty,2022
4,15695,,,,,,,,,,,15851.0,,1211.0,,,,0.0,,,Carson Strong,carson strong,QB,PHI,,,2022.0,,,,,,,Nevada,2022
5,15696,14926860-abef-45a9-b8f6-e66103ca6029,24027.0,,,8157.0,,,,,2866483.0,15975.0,,1212.0,,,,0.0,,1058090.0,Bailey Zappe,bailey zappe,QB,NEP,1999-04-26,23.1,2022.0,4.0,32.0,,,73.0,220.0,Western Kentucky,2022
6,15697,6bf35760-217c-401d-b80b-2ae7cc5d7564,20080.0,,,8159.0,,,,,2864759.0,15928.0,,1213.0,,,,0.0,,1059684.0,Desmond Ridder,desmond ridder,QB,ATL,1999-08-31,22.7,2022.0,3.0,10.0,,,76.0,215.0,Cincinnati,2022
7,15698,d5aef708-ad61-4ab8-a637-62ff96e92040,19797.0,,,8183.0,,,,,2961306.0,15834.0,,1214.0,,,,0.0,,1121761.0,Brock Purdy,brock purdy,QB,SFO,1999-12-27,22.4,2022.0,7.0,41.0,,,73.0,220.0,Iowa State,2022
8,15699,5ba2c367-a293-4d83-9268-a0e392ebca1a,24170.0,,,8206.0,,,,,2239649.0,15974.0,,,,,34203.0,0.0,,913829.0,Skylar Thompson,skylar thompson,QB,MIA,1997-06-04,25.0,2022.0,7.0,26.0,,,74.0,223.0,Kansas State,2022
9,15700,,,,,,,,,,,15970.0,,,,,,0.0,,,Kaleb Eleby,kaleb eleby,QB,SEA,,,2022.0,,,,,,,Western Michigan,2022
10,15701,f0a26520-d3a2-11ec-96a0-c3471a31202c,,,,8431.0,,,,,,16436.0,,,,,,0.0,,974916.0,Chase Garbers,chase garbers,QB,LVR,1999-06-06,23.0,2022.0,,,,,74.0,225.0,California,2022
11,15702,,,,,,,,,,,,,,,,,0.0,,,Tanner McKee,tanner mckee,QB,FA,,,2022.0,,,,,,,Stanford,2022
12,15703,,,,,,,,,,,,,,,,,0.0,,,Drew Plitt,drew plitt,QB,FA,,,2022.0,,,,,,,Ball State,2022
13,15704,4ca348c0-d395-11ec-96a0-c3471a31202c,20075.0,,,8201.0,,,,,2804446.0,15968.0,,,,,,0.0,,976563.0,Jack Coan,jack coan,QB,IND,1998-12-09,23.5,2022.0,,,,,75.0,223.0,Notre Dame,2022
14,15705,ead606a0-cfe8-11ec-8762-8dfa2bbad12c,19783.0,,,8199.0,,,,,2247544.0,15971.0,,,,,34425.0,0.0,,921395.0,D'Eriq King,deriq king,QB,FA,1997-08-24,24.8,2022.0,,,,,71.0,202.0,Miami,2022
15,15706,a4c7d8a0-ce0d-11ec-8f7c-f5226825ea6a,,,,8212.0,,,,,,15969.0,,,,,,0.0,,1060005.0,Dustin Crum,dustin crum,QB,KCC,1999-01-05,23.4,2022.0,,,,,75.0,207.0,Kent State,2022
16,15707,,,,,,,,,,,15973.0,,,,,,0.0,,,EJ Perry,ej perry,QB,JAC,,,2022.0,,,,,,,Brown,2022
17,15708,db1053d7-3343-43a3-9aab-8353f10f1221,22982.0,,,8155.0,,,,,3123469.0,15810.0,,1224.0,,,,0.0,,1162537.0,Breece Hall,breece hall,RB,NYJ,2001-05-31,21.0,2022.0,2.0,4.0,,,73.0,220.0,Iowa State,2022
18,15709,c77e2eb3-ae90-4819-afb1-c6f88e558717,23143.0,,,8153.0,,,,,3131703.0,15908.0,,1225.0,,,,0.0,,1180332.0,Isaiah Spiller,isaiah spiller,RB,LAC,2001-08-09,20.8,2022.0,4.0,18.0,,,73.0,225.0,Texas A&M,2022
19,15710,19d44771-8f1d-4127-9b7d-230da137f15d,23059.0,,,8150.0,,,,,3121836.0,15807.0,,1226.0,,,,0.0,,1167361.0,Kyren Williams,kyren williams,RB,LAR,2000-08-26,21.7,2022.0,5.0,21.0,,,69.0,195.0,Notre Dame,2022
20,15711,22ee9bac-a64c-4d44-94fc-51d775465b3b,23021.0,,,8151.0,,,,,3121372.0,15909.0,,1227.0,,,,0.0,,1164402.0,Kenneth Walker III,kenneth walker,RB,SEA,2000-10-20,21.6,2022.0,2.0,9.0,,,70.0,210.0,Michigan State,2022
21,15712,f4529909-1a02-4f4b-a1f3-315cad100683,24172.0,,,8132.0,,,,,2975590.0,15976.0,,1228.0,,,,0.0,,1131198.0,Tyler Allgeier,tyler allgeier,RB,ATL,2000-04-15,22.1,2022.0,5.0,8.0,,,71.0,220.0,BYU,2022
