,player,team,pass_attempts,batted_balls,throwaways,spikes,drops,drop_pct,bad_throws,bad_throw_pct,on_tgt_throws,on_tgt_pct,season,pfr_id,pocket_time,times_blitzed,times_hurried,times_hit,times_pressured,pressure_pct,rpo_plays,rpo_yards,rpo_pass_att,rpo_pass_yards,rpo_rush_att,rpo_rush_yards,pa_pass_att,pa_pass_yards
102,Deshaun Watson,HOU,544,5,19,2,19,3.6,79,15.1,420,80.3,2020,WatsDe00,2.5,168,75,47,171,26.1,73,598,56,519,13,79,81,834
103,Patrick Mahomes,KC,588,8,20,1,28,4.9,100,17.6,436,76.9,2020,MahoPa00,2.6,141,62,59,143,22.0,100,770,94,756,4,14,144,1068
104,Tom Brady,TB,610,4,13,4,31,5.2,122,20.6,438,73.9,2020,BradTo00,2.4,161,34,58,113,17.8,15,110,14,110,1,0,110,1119
105,Matt Ryan,ATL,626,6,18,1,33,5.4,89,14.7,458,75.5,2020,RyanMa00,2.6,204,55,70,166,24.3,18,166,16,166,0,0,152,1432
106,Josh Allen,BUF,572,4,22,0,25,4.5,88,16.0,435,79.1,2020,AlleJo02,2.6,244,64,47,137,21.9,82,617,62,547,18,70,160,1501
107,Justin Herbert,LAC,595,7,7,4,23,3.9,105,18.0,447,76.5,2020,HerbJu00,2.4,170,85,70,187,28.7,32,196,20,115,10,81,127,1140
108,Aaron Rodgers,GB,526,3,23,3,27,5.4,69,13.8,406,81.2,2020,RodgAa00,2.5,168,33,28,81,14.2,42,335,39,323,3,12,140,1160
109,Kirk Cousins,MIN,516,11,27,3,18,3.7,67,13.8,395,81.3,2020,CousKi00,2.6,181,56,78,173,30.2,4,62,3,60,1,2,127,1286
110,Russell Wilson,SEA,558,4,24,1,27,5.1,84,15.8,424,79.5,2020,WilsRu00,2.6,206,65,67,179,27.2,42,284,33,238,8,46,124,1047
111,Philip Rivers,IND,543,11,14,3,17,3.2,84,16.0,406,77.2,2020,RivePh00,2.3,124,37,37,93,16.5,44,370,44,370,0,0,86,719
112,Derek Carr,LVR,517,5,20,4,20,4.1,79,16.0,389,78.9,2020,CarrDe02,2.5,173,56,30,112,19.8,27,163,22,130,4,33,87,587
113,Matthew Stafford,DET,528,7,7,7,33,6.4,94,18.3,399,77.6,2020,StafMa00,2.4,179,45,39,122,21.0,27,273,27,273,0,0,105,959
114,Kyler Murray,ARI,558,14,25,8,13,2.5,88,16.8,405,77.1,2020,MurrKy00,2.4,156,55,24,106,16.7,171,1395,121,1107,43,288,107,877
115,Jared Goff,LAR,552,6,24,2,27,5.1,84,16.0,413,78.5,2020,GoffJa00,2.5,185,42,54,119,19.9,2,11,0,0,2,11,172,1384
116,Ryan Tannehill,TEN,481,8,19,0,20,4.3,63,13.6,357,77.3,2020,TannRy00,2.5,161,36,61,121,23.0,17,153,9,54,8,99,158,1541
117,Ben Roethlisberger,PIT,608,13,2,0,39,6.4,91,15.0,463,76.4,2020,RoetBe00,2.1,175,42,51,106,17.0,26,85,25,85,1,0,48,234
118,Teddy Bridgewater,CAR,492,5,19,2,20,4.2,61,13.0,379,80.5,2020,BridTe00,2.3,154,42,38,111,19.8,22,114,20,107,2,7,90,637
119,Baker Mayfield,CLE,486,8,28,5,21,4.6,85,18.8,339,74.8,2020,MayfBa00,2.7,179,49,26,101,18.8,7,63,5,60,2,3,121,1141
120,Daniel Jones,NYG,448,8,14,2,23,5.3,76,17.6,325,75.2,2020,JoneDa05,2.5,200,56,55,156,30.3,46,367,28,208,17,159,101,717
